기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2023/12/31,174.22,103.09,99.06,98.04,98.04,98.04,98.04,98.04,109.25,111.36,111.83,110.71,89.92,89.92,89.92,111.34,110.72,113.6,115.31,120.72,120.72,120.72,120.72,120.72,174.22,89.92,109.93
2023/12/30,118.7,107.65,107.65,102.6,106.96,107.65,108.46,113.07,116.34,116.54,118.15,118.15,116.21,116.33,116.48,119.06,122.27,122.27,129.62,122.27,122.27,122.27,151.02,122.27,151.02,102.6,118.21
2023/12/29,118.03,114.14,111.43,111.43,111.43,111.43,117.42,125.68,177.11,166.62,164.39,149.73,149.44,138.63,150.5,151.34,151.34,130.96,129.23,125.8,125.68,115.5,124.41,125.68,177.11,111.43,133.66
2023/12/28,118.87,108.71,108.71,108.71,108.71,110.61,114.73,124.97,149.07,182.74,176.04,154.4,149.06,154.23,174.82,181.59,149.07,149.07,149.07,149.07,149.08,124.41,123.37,122.06,182.74,108.71,139.91
2023/12/27,333.42,114.54,114.4,114.4,114.4,114.4,117.77,125.99,172.65,179.01,158.42,164.73,149.42,150.73,150.93,164.67,168.55,172.94,333.42,172.94,172.94,170.31,127.56,128.58,333.42,114.4,163.77
2023/12/26,125.01,117.44,117.44,117.44,117.44,117.44,117.44,149.66,170.18,179.01,170.18,152.71,149.81,152.67,163.97,171.19,173.7,173.7,169.6,169.6,149.81,172.53,166.96,150.5,179.01,117.44,152.68
2023/12/25,117.09,109.42,108.96,108.38,108.38,108.96,109.41,116.25,117.32,119,120.65,120.65,118.34,116.74,117.77,176.21,118.79,176.4,119,119,180.6,175.62,116.74,116.74,180.6,108.38,127
2023/12/24,122.16,122.06,113.36,109.06,109.06,109.06,113.15,113.6,109.39,110.39,117.09,116.63,116.62,116.62,115.72,116.85,120.65,124.69,124.74,124.74,124.8,124.8,121.67,122.14,124.8,109.06,117.75
2023/12/23,117.8,109.58,108.59,108.59,108.59,108.59,109.58,109.98,118.01,119.8,119.8,340.23,321.97,321.97,116.63,120.34,120.34,121.24,122.52,121.32,182.47,116.58,120.34,120.34,340.23,108.59,146.5
2023/12/22,125.99,117.84,117.84,117.84,117.84,117.84,120.01,129.29,167.36,169.37,170.79,161.2,154.53,158.46,171.86,171.86,171.86,171.86,172.15,172.15,172.15,148.1,147.17,148.1,172.15,117.84,152.13
2023/12/21,121.52,117.37,117.37,117.37,117.37,117.37,117.37,130.7,151.34,179.01,179.01,169.86,169.57,169.86,172.26,181.85,169.86,169.86,167.52,167.52,151.32,136.46,129.47,136.45,181.85,117.37,150.6
2023/12/20,114.88,114.4,114.4,114.4,114.4,114.4,119.79,129.23,150.66,175.94,152.24,155.69,151.48,151.48,151.44,171.46,175.37,177.75,148.89,143.66,143.66,130.45,129.06,130.16,177.75,114.4,142.44
2023/12/19,123.82,114.4,114.4,114.4,114.4,114.4,114.4,123.82,149.22,179.01,177.28,152.97,150.37,150.36,151.34,177.66,149.21,150.5,149.21,149.21,149.21,123.04,123.06,123.06,179.01,114.4,140.54
2023/12/18,163.59,161.14,109.5,109.5,160.43,162.01,163.59,163.58,167.97,171.46,167.97,167.68,149.64,167.68,167.68,171.46,167.68,223.05,218.72,167.68,337.39,334.55,163.58,157.45,337.39,109.5,181.57
2023/12/17,114,109.32,108.64,108.12,108.12,108.71,114,114,109.11,111.52,110.02,111.85,111.58,110,111.03,111.03,109.98,123.58,168.82,174.6,173.72,173.43,169.7,123.65,174.6,108.12,125.84
2023/12/16,113.54,107.27,107.27,106.57,106.57,106.57,107.27,107.42,113.54,126.58,128.18,126.58,126.59,126.59,125.84,110.73,110.74,110.8,125.34,113.54,110.75,110.11,110.76,113.1,128.18,106.57,114.96
2023/12/15,124.47,110.49,110.49,110.49,110.49,110.49,111.63,127.78,171.17,179.99,151.61,151.86,124.52,143.86,151.86,162.13,153.26,153.26,146.85,150.51,126.82,124.55,124.57,111.63,179.99,110.49,136.64
2023/12/14,111.28,110.85,110.41,110.41,110.41,110.85,111.28,127.78,168.93,176.22,152.33,152.33,152.33,152.33,152.33,171.33,175.28,150.04,150.04,128.57,125.73,125.41,125.68,125.41,176.22,110.41,138.33
2023/12/13,122.29,108.77,108.77,108.77,108.79,111.81,123.24,127.78,164.73,136.01,123.64,129.95,129.77,160.06,151.97,168.93,170.47,169.72,151.98,151.98,151.81,123.66,126.29,123.64,170.47,108.77,136.86
2023/12/12,116.53,108.71,108.71,108.71,108.71,116.42,116.37,125.68,171.62,128.74,122.87,130.14,122.84,151.43,151.43,171.62,151.95,151.96,151.44,129.15,128.87,122.98,123.01,123.01,171.62,108.71,132.26
2023/12/11,104.38,99.16,99.13,99.25,99.13,99.13,102.17,125.34,150.53,176.22,171.2,166.08,152.26,155.61,152.26,152.26,152.26,152.26,152.26,152.26,128.12,124.98,121.9,122.13,176.22,99.13,135.45
2023/12/10,103.55,100.47,95.9,94.6,94.6,97.7,101.78,101.78,114.6,118.66,122.92,118.66,109.25,99.98,100.47,114.41,164.82,221.76,223.49,158.96,165.11,165.11,162.47,112.06,223.49,94.6,130.36
2023/12/09,113.54,109.13,103.54,100.43,101.23,109.13,114.27,123.19,123.19,124.1,124.08,124.03,124.03,124.03,123.99,124.05,173,213.17,215.48,214.9,212.59,169.78,124.25,124.58,215.48,100.43,140.53
2023/12/08,118.03,107.37,93.02,92.37,93.02,109.33,110.09,127.34,180.23,171.86,164.03,151.44,151.43,151.43,151.43,152.55,153.37,153.37,172.75,152.56,127.74,125.68,110.09,122.13,180.23,92.37,135.9
2023/12/07,116.42,99.91,93.22,93.22,93.22,116.33,113.5,128.49,159.07,169.3,153.76,143.66,126.08,129.77,143.03,151.33,155.33,176.46,150.53,143.58,130.34,129.23,116.44,128.86,176.46,93.22,133.21
2023/12/06,120.49,115.8,110.54,110.54,110.54,111.67,120.49,124.98,177.58,158.76,146.98,150.65,150.64,150.64,150.64,151.62,151.63,179.05,150.65,123.47,122.44,121.32,120.79,126.93,179.05,110.54,136.71
2023/12/05,121.19,114.65,114.63,114.63,114.65,114.65,119.05,133.38,174.58,176.22,143.58,151.03,143.21,151.02,153.37,173.25,177.78,178.24,169.95,143.58,134.19,170.04,127.93,128.34,178.24,114.63,144.47
2023/12/04,118.51,101.75,101.2,101.7,101.75,101.2,103.85,123.07,170.43,176.22,153.37,161.66,152.48,154.67,153.82,152.48,154.55,156.46,150.76,172.53,170.78,130.44,130.44,125,176.22,101.2,140.81
2023/12/03,120.61,102.38,98.07,93.83,95.13,98.07,107.87,113.6,95.78,89.35,89.35,89.35,100.47,108.87,109.25,91.49,99.68,175.69,175.44,123.88,175.69,121.27,120.84,118.98,175.69,89.35,114.84
2023/12/02,118.3,114.75,109.11,105.58,106.71,109,115.05,116.98,125.63,125.63,125.63,109.96,109.52,109.48,109.61,109.79,109.31,113.07,120.39,120.46,120.33,118.06,118.06,119.39,125.63,105.58,115.26
2023/12/01,120,113.31,113.31,113.31,113.31,113.31,119.28,126.44,161.88,176.22,150.8,150.8,150.04,150.78,161.87,176.22,160.34,176.83,191.92,142.85,149.88,123.48,120.62,125.68,191.92,113.31,143.95
2023/11/30,104.85,96.82,96.47,96.22,96.65,96.84,98.82,134.96,136.39,156.97,139.45,140.1,140.1,140.1,142.28,144.48,147.61,149.79,142.27,139.45,337.3,134.52,113.01,122.56,337.3,96.22,138.08
2023/11/29,105.68,96.71,96.71,96.34,96.53,99.02,102.93,179.74,141.44,169.63,156.55,144.71,141.38,144.11,141.57,141.58,141.35,159.16,337.89,160.48,157.84,115.32,113.5,115.37,337.89,96.34,142.69
2023/11/28,106.69,96.77,96.64,81.64,96.65,97.43,109.47,127.22,150.83,169.97,143.81,140.97,138.62,140.94,140.97,149.89,151.21,140.97,140.94,139.83,138.66,115.63,117.13,115.63,169.97,81.64,128.56
2023/11/27,98.03,81.78,76.5,76.5,81.37,81.78,100.23,130.87,217.58,169.83,151.75,144.19,139.59,140.43,145.2,145.09,157.26,157.7,156.9,141.92,156.9,140.61,140.61,122.4,217.58,76.5,134.22
2023/11/26,104.91,97.71,81.73,78.23,78.23,83.26,99.31,97.74,102.28,102.24,102.15,99.31,99.31,101.92,105.7,104.94,107.01,115.39,115.39,115.39,115.39,334.83,162.38,103.67,334.83,78.23,114.87
2023/11/25,103.98,102.55,101.05,87.24,87.71,101.1,103.78,115.55,115.85,139.01,139.01,139.01,104.54,114.11,135.71,128.34,137.59,139.88,162.97,116.22,115.25,166.1,114.88,114.6,166.1,87.24,121.66
2023/11/24,134.02,100.13,96.86,96.63,96.92,100.13,121.68,135.31,153.11,157.82,153.11,145.65,136.76,142.8,146.07,142.49,144.47,153.11,146.07,146.07,139.68,139.68,139.68,139.61,157.82,96.63,135.66
2023/11/23,97.43,80.3,80.3,80.3,80.3,91.38,99.81,107.34,141.57,150.64,141.58,137.09,114.23,127.75,131,137.51,138.18,138.26,138.43,117.22,113.5,106.03,104.33,104.41,150.64,80.3,116.2
2023/11/22,99.02,93.49,81.4,81.4,81.4,98.75,101,115.05,146.48,149.07,151.11,148.73,142.76,148.8,150.53,146.69,166.52,142.76,140.4,139.68,117.04,114.19,113.5,113.5,166.52,81.4,125.37
2023/11/21,97.23,81.53,79.02,77.98,79.02,96.94,103.71,115.52,156.93,193.61,144.24,152.71,142.42,142.42,138.38,135.73,156.63,325.29,162.6,135.46,162.6,161.61,112.9,114.94,325.29,77.98,138.18
2023/11/20,82.52,74.27,74.27,74.27,74.27,75.06,95.8,115.62,149.07,156.27,149.31,147.22,141.27,141.27,141.27,141.57,158.95,158.95,159.22,154.68,135.08,343.51,157.48,154.36,343.51,74.27,139.27
2023/11/19,99.31,83.2,82.79,78.16,82.79,83.2,88.05,88.05,74.41,72.65,99.82,100.1,99.89,98.98,99.89,101.2,98.98,100.91,100.91,100.36,99.31,99.31,99.31,99.31,101.2,72.65,93.49
2023/11/18,99.23,98.12,97.64,87.54,87.94,97.78,98.97,98.32,100.84,102.09,102.16,99.23,98.71,98.69,98.67,99.83,100.45,100.48,100.83,100.53,99.23,98.8,99.23,99.23,102.16,87.54,98.72
2023/11/17,107.01,96.58,96.74,96.74,96.74,96.7,102.2,119.66,142.61,143.86,145.93,143.86,141.05,144.88,150.03,157.52,145.93,142.59,141.57,139.38,134.96,119.52,119.54,119.54,157.52,96.58,128.35
2023/11/16,126.29,101.29,101.72,101.29,101.37,101.29,117.73,127.7,162.1,162.1,164.1,156.47,141.38,144.65,151.87,154.4,155.45,155.45,155.94,157.22,134.32,127.07,127.7,127.75,164.1,101.29,137.6
2023/11/15,105.68,96.66,93.56,93.56,93.56,96.67,122.07,134.09,146.13,157.26,149.49,141.18,135.4,141.18,141.18,141.17,141.18,162.25,162.42,162.42,160.28,140.69,127.43,127.75,162.42,93.56,134.46
2023/11/14,163.78,93.83,91,90.5,90.56,94.12,104.07,133.99,140.18,137.25,147.86,144.99,128.63,143.11,129.57,127.89,162.85,157.02,157.02,157.02,155.95,141.62,127.75,141.62,163.78,90.5,133.68
2023/11/13,75.25,73.32,73.32,73.32,73.32,73.32,96.52,102.62,127.75,157.32,197.49,148.28,127.75,141.21,141.71,143.82,137.7,142.16,141.62,141.2,127.75,117.13,117.13,113.09,197.49,73.32,122.42
2023/11/12,87.35,79.76,76.08,74.75,74.75,78.75,81.42,81.6,73.06,72.74,72.74,72.18,67.98,71.86,71.86,73.06,81.42,99.31,106.59,99.31,88.65,99.31,88.53,98.61,106.59,67.98,82.86
2023/11/11,106.99,97.64,83.68,83.68,83.68,106.99,106.99,100.17,106.99,106.99,106.99,106.99,99.33,106.99,106.99,106.99,104.35,104.03,111.3,109.26,106.99,103.67,100.8,106.76,111.3,83.68,103.22
2023/11/10,106.08,96.63,96.89,96.91,96.89,96.87,106.51,121.05,160.08,161.57,161.54,117.13,113.97,114.85,123.35,137.91,163.91,137.47,144.82,127.75,117.13,113.49,113.49,113.49,163.91,96.63,124.3
2023/11/09,106.51,96.77,75.52,74.37,75.52,77.91,97.44,106.51,127.75,127.75,127.75,127.75,114.02,127.75,127.75,127.2,126.94,127.75,170.65,165.43,117.13,106.51,106.51,106.51,170.65,74.37,116.58
2023/11/08,100.61,89.6,81.34,80.01,81.11,89.6,117.13,117.13,137.98,156.86,138.47,130.14,117.13,127.75,130.88,156.56,157,156.86,149.7,141.21,127.75,127.75,123.03,117.13,157,80.01,125.29
2023/11/07,106.51,96.86,96.82,77.05,77.08,96.85,106.51,116.53,119.34,127.75,127.75,127.75,117.13,137.12,142,148.57,137.01,137.41,136.51,127.75,117.13,113.4,106.51,106.51,148.57,77.05,118.57
2023/11/06,77.67,75.14,72.57,72.57,75.14,75.31,101.7,131.32,131.32,141.62,131.32,114.32,113.6,117.13,144.26,144.26,144.26,144.26,147.47,144.23,131.32,131.32,131.32,117.13,147.47,72.57,119.6
2023/11/05,106.59,98.01,97.97,97.79,97.78,97.98,98,98,99.31,106.59,98.4,98.09,97.81,97.94,98.39,98.46,106.59,131.85,131.85,117.22,109.35,108.88,107.43,106.59,131.85,97.78,105.15
2023/11/04,106.99,106.99,97.33,97.15,97.32,103.02,106.99,106.99,131.65,113.39,106.99,106.99,106.99,103.4,103.4,103.4,101.3,103.4,106.99,106.99,106.99,106.99,106.99,106.99,131.65,97.15,106.21
2023/11/03,126.35,106.51,106.51,106.51,106.51,126.35,117.13,142,144.58,144.58,144.58,141.56,128.99,130.36,141.56,158.31,141.56,165.41,141.6,168.81,164.96,106.51,117.13,106.51,168.81,106.51,134.21
2023/11/02,126.35,106.51,106.51,102.4,103.1,117.13,126.35,126.98,147.01,151.13,145.53,145.3,144.46,144.46,146.18,148.57,145.52,145.54,145.78,145.62,144.46,144.46,144.16,117.13,151.13,102.4,135.4
2023/11/01,119.35,106.51,106.51,106.51,106.51,106.51,117.13,126.98,146.23,201.06,146.27,144.66,140.64,143.49,146.24,146.23,146.23,146.25,146.27,146.23,144.63,143.66,143.47,117.13,201.06,106.51,136.56
2023/10/31,109.09,108.96,108.96,108.7,108.96,109.09,109.1,109.22,159.58,163.11,157.13,163.08,157.09,157.13,157.12,163.11,163.06,163.07,183.79,183.71,180.78,139.48,109.05,108.73,183.79,108.7,142.85
2023/10/30,109.98,105,104.22,104.05,104.21,104.3,107.38,160.32,157.72,157.72,157.72,156.77,151.63,156.77,157.72,162,161.96,161.98,162.01,186.03,155.47,157.71,140.46,109.68,186.03,104.05,143.71
2023/10/29,109.63,106.48,104.97,104.78,105.02,107.16,107.53,107.53,110.92,107.16,105.44,105.44,105.19,105.44,105.44,105.44,110.77,178.38,369.56,179.84,179.84,177.27,111.28,110.95,369.56,104.78,134.67
2023/10/28,110.27,108.99,108.21,107.23,107.04,107.47,108.47,110.62,111.39,111.31,111.23,111.11,110.26,110.8,111.32,111.33,111.22,177.81,373.79,180.37,179.82,178.36,176.7,107.98,373.79,107.04,139.88
2023/10/27,109.01,108.57,108.37,108.68,108.7,109.05,109.05,157.5,168.89,158.96,158.91,157.52,143.46,158.08,158.82,158.47,159.2,159.2,159.2,159.17,228.3,231.32,226.79,110.05,231.32,108.37,153.33
2023/10/26,109.25,109.09,108.77,108.77,108.77,109.38,109.26,156.47,157.75,158.41,158.39,157.74,157.74,158.13,174.15,174.41,174.44,158.06,157.96,157.75,157.72,183.61,182.15,109.24,183.61,108.77,147.8
2023/10/25,109.25,108.9,108.61,108.48,108.62,108.85,109.14,109.25,158.06,160.52,160.46,242.34,158.04,159.85,160.37,160.4,174.34,159.59,174.51,159.35,159.3,185.86,158.29,124.81,242.34,108.48,148.66
2023/10/24,109.15,108.77,108.53,108.37,108.58,109.23,109.11,155.59,161.24,166.16,168.85,158.33,158.32,158.32,158.32,165.5,165.51,186.51,174.58,185.07,181.95,155.56,109.38,109.21,186.51,108.37,147.5
2023/10/23,105.55,104.29,104.36,95.41,95.41,104.28,108.97,110.98,157.72,215.3,164.96,164.35,158.53,163.77,164.13,164.22,174.41,165.18,165.27,159.18,185.02,158.48,110.69,109.54,215.3,95.41,144.24
2023/10/22,110.07,107.47,105.6,105.37,105.46,105.56,107.73,105.5,105.32,105.7,106,105.28,105.71,105.86,106,108.65,109.88,108.57,188.82,110.56,110.61,110.02,107.05,105.71,188.82,105.28,111.29
2023/10/21,108.95,108.2,106.08,106.08,106.08,107.13,108.65,108.13,108.89,107.45,109.87,110.37,108.41,109.84,110.31,110.4,110.23,109.24,110.57,111.1,110.29,109.33,106.9,106.35,111.1,106.08,108.81
2023/10/20,110.05,110.6,107.26,107.26,107.56,111.97,112.25,161.18,168.78,168.48,157.05,156.65,156.61,157.9,157.93,161.03,164.82,164.82,164.82,164.82,156.32,155.74,154.18,154.19,168.78,107.26,147.8
2023/10/19,364.3,107,105.22,106.49,105.42,109.22,107.27,155.59,158.85,160.8,161.59,160.76,159.03,160.8,169.05,166.49,371.32,183.9,369.73,159.18,157.87,157.87,157.9,107.72,371.32,105.22,175.74
